time, m, h, n, V
3.65,0.0519197,0.593948,0.317739,0.157633
3.66,0.0519213,0.593957,0.317734,0.157329
3.67,0.0519229,0.593966,0.31773,0.157024
3.68,0.0519245,0.593975,0.317725,0.156717
3.69,0.0519261,0.593984,0.317721,0.156408
3.7,0.0519278,0.593992,0.317716,0.156098
3.71,0.0519294,0.594001,0.317712,0.155786
3.72,0.051931,0.59401,0.317707,0.155473
3.73,0.0519327,0.594019,0.317703,0.155158
3.74,0.0519344,0.594028,0.317699,0.154841
3.75,0.0519361,0.594037,0.317694,0.154523
3.76,0.0519378,0.594045,0.31769,0.154204
3.77,0.0519395,0.594054,0.317686,0.153883
3.78,0.0519412,0.594063,0.317681,0.15356
3.79,0.0519429,0.594072,0.317677,0.153236
3.8,0.0519447,0.59408,0.317673,0.15291
3.81,0.0519464,0.594089,0.317668,0.152583
3.82,0.0519482,0.594098,0.317664,0.152255
3.83,0.05195,0.594106,0.31766,0.151925
3.84,0.0519517,0.594115,0.317656,0.151593
3.85,0.0519535,0.594123,0.317651,0.151261
3.86,0.0519553,0.594132,0.317647,0.150926
3.87,0.0519572,0.59414,0.317643,0.150591
3.88,0.051959,0.594149,0.317639,0.150254
3.89,0.0519608,0.594157,0.317635,0.149915
3.9,0.0519627,0.594166,0.317631,0.149576
3.91,0.0519645,0.594174,0.317627,0.149234
3.92,0.0519664,0.594182,0.317622,0.148892
3.93,0.0519683,0.594191,0.317618,0.148548
3.94,0.0519702,0.594199,0.317614,0.148203
3.95,0.0519721,0.594208,0.31761,0.147857
3.96,0.051974,0.594216,0.317606,0.147509
3.97,0.0519759,0.594224,0.317602,0.14716
3.98,0.0519778,0.594232,0.317598,0.14681
3.99,0.0519798,0.594241,0.317594,0.146459
4,0.0519817,0.594249,0.31759,0.146106
4.01,0.0519837,0.594257,0.317586,0.145752
4.02,0.0519856,0.594265,0.317583,0.145397
4.03,0.0519876,0.594273,0.317579,0.145041
4.04,0.0519896,0.594281,0.317575,0.144683
4.05,0.0519916,0.594289,0.317571,0.144324
4.06,0.0519936,0.594297,0.317567,0.143965
4.07,0.0519956,0.594306,0.317563,0.143603
4.08,0.0519976,0.594314,0.317559,0.143241
4.09,0.0519996,0.594322,0.317556,0.142878
4.1,0.0520017,0.594329,0.317552,0.142514
4.11,0.0520037,0.594337,0.317548,0.142148
4.12,0.0520058,0.594345,0.317544,0.141781
4.13,0.0520078,0.594353,0.317541,0.141414
4.14,0.0520099,0.594361,0.317537,0.141045
4.15,0.052012,0.594369,0.317533,0.140675
4.16,0.0520141,0.594377,0.31753,0.140304
4.17,0.0520162,0.594385,0.317526,0.139932
4.18,0.0520183,0.594392,0.317522,0.139559
4.19,0.0520204,0.5944,0.317519,0.139185
4.2,0.0520225,0.594408,0.317515,0.13881
4.21,0.0520246,0.594415,0.317511,0.138434
4.22,0.0520268,0.594423,0.317508,0.138057
4.23,0.0520289,0.594431,0.317504,0.137678
4.24,0.052031,0.594438,0.317501,0.137299
4.25,0.0520332,0.594446,0.317497,0.136919
4.26,0.0520354,0.594454,0.317494,0.136539
4.27,0.0520375,0.594461,0.31749,0.136157
4.28,0.0520397,0.594469,0.317487,0.135774
4.29,0.0520419,0.594476,0.317483,0.13539
4.3,0.0520441,0.594484,0.31748,0.135006
4.31,0.0520463,0.594491,0.317476,0.13462
4.32,0.0520485,0.594498,0.317473,0.134234
4.33,0.0520507,0.594506,0.31747,0.133847
4.34,0.052053,0.594513,0.317466,0.133459
4.35,0.0520552,0.594521,0.317463,0.13307
4.36,0.0520574,0.594528,0.31746,0.13268
4.37,0.0520597,0.594535,0.317456,0.132289
4.38,0.0520619,0.594542,0.317453,0.131898
4.39,0.0520642,0.59455,0.31745,0.131506
4.4,0.0520664,0.594557,0.317446,0.131113
