time, m, h, n, V
3.3,0.0522518,0.593373,0.318069,0.0926901
3.31,0.0522562,0.59338,0.318065,0.0918434
3.32,0.0522607,0.593387,0.318062,0.0909917
3.33,0.0522652,0.593394,0.318059,0.090135
3.34,0.0522698,0.593401,0.318055,0.0892734
3.35,0.0522744,0.593408,0.318052,0.0884068
3.36,0.052279,0.593415,0.318049,0.0875352
3.37,0.0522836,0.593422,0.318046,0.0866588
3.38,0.0522883,0.593428,0.318043,0.0857773
3.39,0.052293,0.593435,0.31804,0.084891
3.4,0.0522978,0.593442,0.318037,0.0839998
3.41,0.0523026,0.593448,0.318034,0.0831036
3.42,0.0523074,0.593455,0.318031,0.0822026
3.43,0.0523122,0.593461,0.318028,0.0812967
3.44,0.0523171,0.593468,0.318025,0.080386
3.45,0.052322,0.593474,0.318022,0.0794704
3.46,0.052327,0.593481,0.318019,0.0785499
3.47,0.0523319,0.593487,0.318016,0.0776247
3.48,0.052337,0.593493,0.318013,0.0766946
3.49,0.052342,0.593499,0.318011,0.0757597
3.5,0.0523471,0.593506,0.318008,0.07482
3.51,0.0523522,0.593512,0.318005,0.0738755
3.52,0.0523573,0.593518,0.318003,0.0729263
3.53,0.0523625,0.593524,0.318,0.0719723
3.54,0.0523676,0.59353,0.317997,0.0710136
3.55,0.0523729,0.593536,0.317995,0.0700501
3.56,0.0523781,0.593542,0.317992,0.0690818
3.57,0.0523834,0.593548,0.31799,0.0681089
3.58,0.0523887,0.593553,0.317987,0.0671313
3.59,0.0523941,0.593559,0.317985,0.0661489
3.6,0.0523995,0.593565,0.317982,0.0651619
3.61,0.0524049,0.593571,0.31798,0.0641702
3.62,0.0524103,0.593576,0.317978,0.0631739
3.63,0.0524158,0.593582,0.317975,0.0621729
3.64,0.0524213,0.593587,0.317973,0.0611673
3.65,0.0524268,0.593593,0.317971,0.060157
3.66,0.0524324,0.593598,0.317969,0.0591421
3.67,0.052438,0.593604,0.317966,0.0581227
3.68,0.0524436,0.593609,0.317964,0.0570986
3.69,0.0524493,0.593614,0.317962,0.0560699
3.7,0.052455,0.593619,0.31796,0.0550367
3.71,0.0524607,0.593625,0.317958,0.0539989
3.72,0.0524664,0.59363,0.317956,0.0529566
3.73,0.0524722,0.593635,0.317954,0.0519097
3.74,0.052478,0.59364,0.317952,0.0508583
3.75,0.0524839,0.593645,0.31795,0.0498024
3.76,0.0524897,0.59365,0.317948,0.048742
3.77,0.0524956,0.593655,0.317946,0.0476771
3.78,0.0525016,0.59366,0.317944,0.0466077
3.79,0.0525075,0.593664,0.317943,0.0455338
3.8,0.0525135,0.593669,0.317941,0.0444555
3.81,0.0525195,0.593674,0.317939,0.0433727
3.82,0.0525256,0.593679,0.317937,0.0422855
3.83,0.0525317,0.593683,0.317936,0.0411939
3.84,0.0525378,0.593688,0.317934,0.0400978
3.85,0.0525439,0.593692,0.317932,0.0389974
3.86,0.0525501,0.593697,0.317931,0.0378925
3.87,0.0525563,0.593701,0.317929,0.0367833
3.88,0.0525625,0.593705,0.317928,0.0356697
3.89,0.0525687,0.59371,0.317926,0.0345517
3.9,0.052575,0.593714,0.317925,0.0334294
3.91,0.0525813,0.593718,0.317924,0.0323028
3.92,0.0525877,0.593722,0.317922,0.0311718
3.93,0.052594,0.593726,0.317921,0.0300365
3.94,0.0526004,0.59373,0.31792,0.0288969
3.95,0.0526069,0.593734,0.317918,0.027753
3.96,0.0526133,0.593738,0.317917,0.0266049
3.97,0.0526198,0.593742,0.317916,0.0254524
3.98,0.0526263,0.593746,0.317915,0.0242958
3.99,0.0526329,0.59375,0.317914,0.0231348
4,0.0526394,0.593754,0.317913,0.0219696
4.01,0.052646,0.593757,0.317912,0.0208002
4.02,0.0526527,0.593761,0.317911,0.0196266
4.03,0.0526593,0.593764,0.31791,0.0184488
4.04,0.052666,0.593768,0.317909,0.0172667
4.05,0.0526727,0.593771,0.317908,0.0160805
4.06,0.0526795,0.593775,0.317907,0.0148901
4.07,0.0526862,0.593778,0.317906,0.0136956
4.08,0.052693,0.593782,0.317905,0.0124969
4.09,0.0526999,0.593785,0.317904,0.0112941
4.1,0.0527067,0.593788,0.317904,0.0100871
4.11,0.0527136,0.593791,0.317903,0.00887604
4.12,0.0527205,0.593794,0.317902,0.00766086
4.13,0.0527274,0.593797,0.317902,0.00644158
4.14,0.0527344,0.5938,0.317901,0.00521822
4.15,0.0527414,0.593803,0.317901,0.00399078
4.16,0.0527484,0.593806,0.3179,0.00275928
4.17,0.0527555,0.593809,0.3179,0.00152373
4.18,0.0527625,0.593812,0.317899,0.000284135
4.19,0.0527696,0.593814,0.317899,-0.000959488
4.2,0.0527768,0.593817,0.317898,-0.00220713
4.21,0.0527839,0.59382,0.317898,-0.00345878
4.22,0.0527911,0.593822,0.317898,-0.00471443
4.23,0.0527983,0.593825,0.317897,-0.00597407
4.24,0.0528056,0.593827,0.317897,-0.00723768
4.25,0.0528128,0.59383,0.317897,-0.00850526
4.26,0.0528201,0.593832,0.317897,-0.00977679
4.27,0.0528274,0.593834,0.317897,-0.0110523
4.28,0.0528348,0.593837,0.317897,-0.0123317
4.29,0.0528422,0.593839,0.317897,-0.013615
4.3,0.0528496,0.593841,0.317897,-0.0149022
4.31,0.052857,0.593843,0.317897,-0.0161934
4.32,0.0528645,0.593845,0.317897,-0.0174884
4.33,0.0528719,0.593847,0.317897,-0.0187873
4.34,0.0528794,0.593849,0.317897,-0.0200901
4.35,0.052887,0.593851,0.317897,-0.0213968
4.36,0.0528945,0.593852,0.317897,-0.0227072
4.37,0.0529021,0.593854,0.317897,-0.0240216
4.38,0.0529097,0.593856,0.317898,-0.0253397
4.39,0.0529174,0.593857,0.317898,-0.0266617
4.4,0.052925,0.593859,0.317898,-0.0279875
4.41,0.0529327,0.59386,0.317899,-0.029317
4.42,0.0529405,0.593862,0.317899,-0.0306504
4.43,0.0529482,0.593863,0.3179,-0.0319875
4.44,0.052956,0.593865,0.3179,-0.0333284
4.45,0.0529638,0.593866,0.317901,-0.034673
4.46,0.0529716,0.593867,0.317901,-0.0360214
4.47,0.0529794,0.593868,0.317902,-0.0373735
4.48,0.0529873,0.593869,0.317902,-0.0387293
4.49,0.0529952,0.59387,0.317903,-0.0400889
4.5,0.0530031,0.593871,0.317904,-0.0414521
4.51,0.0530111,0.593872,0.317905,-0.042819
4.52,0.0530191,0.593873,0.317905,-0.0441896
4.53,0.0530271,0.593874,0.317906,-0.0455639
4.54,0.0530351,0.593875,0.317907,-0.0469418
4.55,0.0530431,0.593876,0.317908,-0.0483234
4.56,0.0530512,0.593876,0.317909,-0.0497086
4.57,0.0530593,0.593877,0.31791,-0.0510974
4.58,0.0530675,0.593877,0.317911,-0.0524899
4.59,0.0530756,0.593878,0.317912,-0.053886
4.6,0.0530838,0.593878,0.317913,-0.0552856
4.61,0.053092,0.593879,0.317914,-0.0566888
4.62,0.0531002,0.593879,0.317915,-0.0580957
4.63,0.0531085,0.593879,0.317916,-0.059506
4.64,0.0531167,0.593879,0.317918,-0.06092
4.65,0.0531251,0.59388,0.317919,-0.0623374
4.66,0.0531334,0.59388,0.31792,-0.0637585
4.67,0.0531417,0.59388,0.317922,-0.065183
4.68,0.0531501,0.59388,0.317923,-0.066611
4.69,0.0531585,0.593879,0.317924,-0.0680426
4.7,0.0531669,0.593879,0.317926,-0.0694776
4.71,0.0531754,0.593879,0.317927,-0.0709161
4.72,0.0531839,0.593879,0.317929,-0.0723581
4.73,0.0531924,0.593878,0.31793,-0.0738036
4.74,0.0532009,0.593878,0.317932,-0.0752525
4.75,0.0532094,0.593878,0.317934,-0.0767048
4.76,0.053218,0.593877,0.317935,-0.0781606
4.77,0.0532266,0.593876,0.317937,-0.0796198
4.78,0.0532352,0.593876,0.317939,-0.0810824
4.79,0.0532439,0.593875,0.317941,-0.0825484
4.8,0.0532525,0.593874,0.317942,-0.0840178
4.81,0.0532612,0.593874,0.317944,-0.0854906
4.82,0.0532699,0.593873,0.317946,-0.0869667
4.83,0.0532787,0.593872,0.317948,-0.0884463
